instâncias,dijkstra,rdijkstra,rdijkstra-v2,rauction,rauction-v2
100k-outx1.txt,57.672,111.709,65.665,2066.787,222.457,
100k-outx2.txt,81.234,164.722,103.548,7239.211,416.522,
100k-outx3.txt,145.375,218.989,128.098,16941.708,852.019,
100_x_100-6n+0.gridgen,1.236,2.929,2.323,9.333,6.979,
100_x_100-6n+25.gridgen,1.658,3.210,2.834,11.372,7.572,
100_x_100-6n+50.gridgen,1.926,3.684,3.093,12.538,7.785,
10k-outx1.txt,1.965,3.768,3.294,11.689,8.717,
10k-outx2.txt,2.606,5.177,3.775,21.953,11.564,
10k-outx3.txt,3.618,7.212,6.821,81.059,20.948,
150_x_150-6n+0.gridgen,5.575,7.575,5.831,29.391,15.127,
150_x_150-6n+25.gridgen,5.337,10.302,7.254,39.178,17.547,
150_x_150-6n+50.gridgen,5.172,9.129,7.829,42.005,17.214,
250_x_250-6n+0.gridgen,9.949,15.990,13.900,68.470,31.841,
250_x_250-6n+25.gridgen,13.922,19.834,14.754,106.886,39.779,
250_x_250-6n+50.gridgen,14.868,23.514,16.544,148.788,42.619,
500_x_500-6n+0.gridgen,58.201,94.809,52.399,393.660,198.613,
500_x_500-6n+25.gridgen,66.617,88.729,75.219,598.827,193.535,
500_x_500-6n+50.gridgen,72.162,104.440,78.005,747.782,198.417,
50k-outx1.txt,22.493,40.698,25.997,417.919,86.189,
50k-outx2.txt,32.679,58.893,32.396,1253.983,122.074,
50k-outx3.txt,41.615,87.696,42.499,2992.464,200.612,
BAY-d.gr,37.520,44.515,41.877,130.819,69.864,
BAY-t.gr,47.682,61.363,64.843,86.313,50.178,
COL-d.gr,56.853,71.905,67.122,149.293,104.443,
COL-t.gr,88.597,103.117,99.395,158.046,119.272,
NY-d.gr,33.414,35.576,37.478,104.173,71.971,
NY-t.gr,48.959,47.522,39.773,89.713,55.035,
small2.txt,0.001,0.001,0.001,0.005,0.004,
small3.txt,0.000,0.000,0.000,0.001,0.001,
small.txt,0.000,0.001,0.001,0.003,0.003,
